"id","player_pc_id","club_pc_id","match_count","bat_average","avg_bat_position","overs_per_game","wickets_per_over"
153,342371,1477,8,7.5000,8.0000,10.3125,0.18181818181818182
154,342459,1477,17,5.5882,9.2353,3.835294117647059,0.1687116564417178
155,342341,1477,13,7.7692,8.4615,5.076923076923077,0.19696969696969696
156,4161571,3808,8,7.3750,8.7500,4.3375,0.20172910662824206
157,3578638,3808,15,5.0000,7.8667,7.433333333333334,0.18834080717488788
158,917130,10480,11,4.4545,8.9091,0.36363636363636365,0.25
159,3550137,10480,12,17.5000,4.4167,9.258333333333333,0.14401440144014402
161,4315520,10480,5,18.8000,2.6000,0,0
162,721753,10480,6,23.8333,4.1667,2.5,0.2
163,3821257,10480,7,20.4286,5.0000,1.0285714285714287,0.2777777777777778
164,3821256,10480,5,1.8000,10.4000,7,0.22857142857142856
166,57683,10480,7,17.0000,5.7143,0,0
167,127430,10480,8,14.0000,6.7500,6.5,0.19230769230769232
168,127420,10480,12,17.3333,3.1667,8.858333333333333,0.18814675446848542
169,1797497,3808,25,22.9200,1.4400,0,0
170,3599191,3808,33,9.9091,6.9394,5.493939393939394,0.14340871483728626
171,1445766,3808,14,7.8571,6.9286,2,0.25
172,1227009,3540,25,14.9200,5.9600,7.896,0.12664640324214793
174,64778,3540,20,13.5000,5.5000,0.605,0.1652892561983471
175,598376,3540,15,14.2667,6.6667,0.26666666666666666,0.25
176,927020,3540,29,3.2069,9.1034,6.744827586206896,0.18404907975460122
177,64755,3540,28,12.5000,7.7143,7.05,0.13171225937183384
178,15680,3540,22,2.9091,10.2727,9.227272727272727,0.16748768472906403
179,64799,3540,12,1.0833,8.9167,3.6,0.13888888888888887
180,4082950,5068,9,25.2222,2.1111,6.9,0.1610305958132045
182,3297640,5068,9,12.3333,7.4444,8.444444444444445,0.27631578947368424
183,880650,5068,15,7.9333,7.8667,0.26666666666666666,0.25
184,1008743,3808,10,37.9000,1.9000,2.9,0.27586206896551724
185,124925,3808,22,1.8182,9.4091,6.199999999999999,0.19794721407624638
186,558473,4242,39,27.9231,3.4615,6.271794871794872,0.1839738348323794
187,3684586,4242,28,20.4643,3.1786,0,0
188,3557033,4242,14,31.5714,3.1429,1.0714285714285714,0.3333333333333333
189,3217135,4242,19,28.1053,3.6316,4.936842105263158,0.2345415778251599
190,4338108,4242,41,29.8293,3.2439,0.14878048780487804,0
191,3271116,4242,33,27.6970,4.6364,1.5242424242424242,0.2385685884691849
192,330629,4242,25,3.1200,8.3200,1.2,0.3
193,2648743,4242,33,8.6970,7.3636,8.18787878787879,0.2183567727609178
194,3931994,4242,18,7.1111,8.7778,6.627777777777777,0.31852472757753564
195,17882,4242,36,0.6389,10.5278,6.919444444444444,0.20072260136491368
196,3629132,4242,35,2.2000,10.1429,6.46,0.1813356921716055
197,939076,2043,19,29.7895,1.3158,0,0
198,1218190,2043,32,20.9375,4.5938,1.75,0.16071428571428573
199,736716,2043,41,16.9024,6.4634,6.609756097560975,0.19557195571955718
200,1611526,2043,42,8.7381,7.0476,3.8238095238095244,0.24906600249066
201,3922000,3808,21,23.2857,3.8571,0.6904761904761905,0.27586206896551724
202,1724963,5625,19,18.7895,3.1579,0,0
203,179489,5625,29,13.1034,4.0000,0,0
204,164736,5625,19,17.1053,5.3684,0.39473684210526316,0.26666666666666666
205,204119,5625,25,15.5200,5.8400,2.072,0.23166023166023167
206,2634606,5625,7,3.2857,9.8571,8.142857142857142,0.2982456140350877
207,1039838,3808,12,5.5833,8.5000,6.666666666666667,0.3
208,56136,1244,16,13.6250,5.3125,0,0
209,3299870,1244,10,24.6000,3.2000,0,0
210,3481474,1244,7,15.0000,4.7143,1.1428571428571428,0.125
211,1358886,1244,16,26.0000,4.1250,6.89375,0.2357207615593835
