pc_id,position_name,value,club_id
1328841,Keeper,3.5,4884
0,Keeper,1.9,4884
2634625,Keeper,1.5,4884
19617,Keeper,1.5,4884
0,Keeper,0.5,4884
0,Keeper,0.5,4884
265965,Bowler,8.2,4884
57120,Bowler,7.4,4884
0,Bowler,6.0,4884
0,Bowler,6.1,4884
3373802,Bowler,4.7,4884
0,Bowler,4.8,4884
42640,Bowler,4.3,4884
0,Bowler,3.5,4884
0,Bowler,4.0,4884
0,Bowler,2.9,4884
0,Bowler,3.0,4884
3593846,Bowler,3.4,4884
0,Bowler,3.0,4884
0,Bowler,2.5,4884
3571211,Bowler,2.6,4884
0,Bowler,2.0,4884
333103,Bowler,2.2,4884
745183,Bowler,2.0,4884
975550,Bowler,2.0,4884
1523608,Bowler,2.0,4884
959494,Bowler,2.0,4884
1919118,Bowler,1.5,4884
0,Bowler,1.5,4884
3592302,Bowler,1.5,4884
3307082,Bowler,1.7,4884
1721072,Bowler,1.6,4884
0,Bowler,1.5,4884
3305979,Bowler,1.0,4884
0,Bowler,1.0,4884
0,Bowler,1.0,4884
0,Bowler,1.0,4884
584981,Batter,7.5,5995
43560,Batter,6.0,5995
97061,Batter,5.5,5995
125938,Batter,4.5,5995
23192,Batter,4.5,5995
807620,Batter,3.5,5995
54813,Batter,3.5,5995
3274124,Batter,3.5,5995
0,Batter,3.5,5995
3319860,Batter,3.5,5995
1745006,Batter,3.0,5995
832016,Batter,2.5,5995
15988,Batter,2.0,5995
0,Batter,2.0,5995
1552984,Batter,2.0,5995
43557,Batter,2.0,5995
26230,Batter,2.0,5995
1677922,All Rounder,8.5,5995
72545,All Rounder,7.0,5995
193132,All Rounder,6.5,5995
97028,All Rounder,5.5,5995
2637608,All Rounder,5.0,5995
0,All Rounder,5.0,5995
50615,All Rounder,4.5,5995
0,All Rounder,4.0,5995
3806679,All Rounder,4.0,5995
0,All Rounder,3.0,5995
0,All Rounder,2.5,5995
0,All Rounder,2.5,5995
50624,Keeper,6.0,5995
1744991,Keeper,3.5,5995
3396054,Keeper,3.5,5995
3400574,Keeper,2.0,5995
1480902,Bowler,6.5,5995
122065,Bowler,6.0,5995
418621,Bowler,5.5,5995
97041,Bowler,5.5,5995
2642084,Bowler,5.5,5995
1919392,Bowler,5.0,5995
571198,Bowler,5.0,5995
103883,Bowler,4.5,5995
2404068,Bowler,4.5,5995
4181159,Bowler,4.5,5995
50625,Bowler,4.5,5995
3313070,Bowler,4.0,5995
4077818,Bowler,3.0,5995
877904,Bowler,3.0,5995
3478854,Bowler,2.5,5995
3586339,Bowler,2.0,5995
3362632,Bowler,2.0,5995
